epoch,train_loss,val_accuracy,f1_score,recall,epoch_time,memory_usage
1,2.168552017211914,0.15,0.07007575757575757,0.15,183.62777400016785,2034.65234375
2,2.056297755241394,0.2,0.11711711711711711,0.2,182.67553853988647,1933.51953125
3,1.9433703064918517,0.4,0.3658119658119658,0.4,181.65852856636047,1948.1875
4,1.637685489654541,0.725,0.7045093795093795,0.725,184.15324902534485,1926.74609375
5,1.37618590593338,0.675,0.6352564102564102,0.675,182.43262839317322,1950.8359375
6,1.0300115108489991,0.875,0.8717171717171717,0.875,201.4501178264618,1933.9921875
7,0.7147126436233521,0.925,0.9244949494949495,0.925,201.35409450531006,1915.8984375
8,0.39479119777679444,0.95,0.9494949494949495,0.95,183.34771847724915,1930.62890625
9,0.20346418470144273,0.9,0.8976641414141413,0.9,180.90560269355774,1950.36328125
10,0.12643401473760604,0.95,0.951388888888889,0.95,180.9551556110382,1920.01953125
