epoch,train_loss,val_accuracy,f1_score,recall,epoch_time,memory_usage
1,2.105532097816467,0.275,0.14182692307692307,0.275,175.26999759674072,2605.40234375
2,2.027607488632202,0.45,0.4213474025974026,0.45,184.27001690864563,2116.1015625
3,1.9124648809432983,0.4,0.3600677339901478,0.4,185.47718834877014,2137.578125
4,1.7421929955482482,0.65,0.6241407897657897,0.65,284.4042458534241,2091.94921875
5,1.4823933124542237,0.775,0.78252997002997,0.775,188.1444480419159,2068.35546875
6,1.1096117556095124,0.825,0.8254419191919192,0.825,258.052437543869,1940.55859375
7,0.6744506776332855,0.95,0.9494949494949495,0.95,262.26992869377136,1913.5234375
8,0.3632852450013161,0.95,0.9494949494949495,0.95,187.6378779411316,1960.98046875
9,0.1631208188831806,0.95,0.9494949494949495,0.95,210.7694911956787,1935.88671875
10,0.06726053059101104,0.95,0.9494949494949495,0.95,231.4882791042328,1896.6953125
11,0.03257050635293126,0.95,0.9494949494949495,0.95,197.88539171218872,1934.8984375
12,0.011436887271702289,0.95,0.9494949494949495,0.95,187.26916575431824,1652.21875
13,0.008117147209122776,0.95,0.9494949494949495,0.95,182.3295919895172,1907.2265625
14,0.006741968542337417,0.95,0.9494949494949495,0.95,182.29258561134338,1921.0234375
15,0.006209712661802769,0.95,0.9494949494949495,0.95,221.0010540485382,1905.77734375
